RECORDID,RECORDNAME,RECORDTYPEALIAS,DATESTRING,COMMENTS,DATESTATUS,ACTION,ACTIONNUMBER,PROJECTDECISION
1982.014C,1660 Mission St,Conditional Use Authorization (CUA),6/3/1982,CPC:  APP W/COND:  9414,6/3/1982,Approved,9414,Approved
1982.016C,121 Steuart St,Conditional Use Authorization (CUA),5/13/1982,CPC:  APP W/COND:  9388,5/13/1982,Approved,9388,Approved
1982.020V,2221 Beach St,Variance (VAR),5/11/1982,DCP:  DENIED,5/11/1982,Disapproved,,Disapproved
1982.022V,1960 Vallejo St,Variance (VAR),3/16/1982,DCP:  DENIED,3/16/1982,Disapproved,,Disapproved
1982.023V,1707-09 Jones St,Variance (VAR),5/10/1982,DCP:  GRANTED W/COND,5/10/1982,Approved,,Approved
1982.024V,1581 Bush St,Variance (VAR),7/19/1982,DCP:  GRANTED,7/19/1982,Approved,,Approved
1982.025C,Wisconsin St Site,Conditional Use Authorization (CUA),2/11/1982,CPC:  APP W/COND:  9311,2/11/1982,Approved,9311,Approved
1982.026V,353-55 Frederick St,Variance (VAR),4/23/1982,DCP:  DENIED,4/23/1982,Disapproved,,Disapproved
1982.028V,741 Castro St,Variance (VAR),4/12/1982,DCP:  GRANTED,4/12/1982,Approved,,Approved
1982.034V,531-33 Sixth Ave,Variance (VAR),4/15/1982,DCP:  DENIED,4/15/1982,Disapproved,,Disapproved
1982.049V,18 Moore Place,Variance (VAR),4/1/1982,DCP:  GRANTED,4/1/1982,Approved,,Approved
1982.062C,1198 Fulton St,Conditional Use Authorization (CUA),7/1/1982,CPC:  APP W/COND:  9442,7/1/1982,Approved,9442,Approved
1982.066V,2215 42nd Ave,Variance (VAR),6/16/1982,DCP:  GRANTED,6/16/1982,Approved,,Approved
1982.072C,1201 19th Ave,Conditional Use Authorization (CUA),4/1/1982,CPC:  DISAPPROVED:  9359,4/1/1982,Disapproved,9359,Disapproved
1982.075C,1485-87 20th Ave,Conditional Use Authorization (CUA),6/3/1982,CPC:  DISAPPROVED:  9412,6/3/1982,Disapproved,9412,Disapproved
1982.075V,1485-87 20th Ave,Variance (VAR),5/26/1982,DCP:  DENIED,5/26/1982,Disapproved,,Disapproved
1982.076V,3958 Army St (Cesar Chavez),Variance (VAR),5/10/1982,DCP:  GRANTED,5/10/1982,Approved,,Approved
1982.077V,642 Harrison St,Variance (VAR),6/10/1982,DCP:  GRANTED,6/10/1982,Approved,,Approved
1982.079V,743-67 Cabrillo St,Variance (VAR),4/21/1982,DCP:  DENIED,4/21/1982,Disapproved,,Disapproved
1982.083V,1043 Palou Ave,Variance (VAR),4/30/1982,DCP:  GRANTED,4/30/1982,Approved,,Approved
1982.090C,1800 Blk Ocean Ave(Ocean Terrace),Conditional Use Authorization (CUA),7/22/1982,CPC:  APP W/COND:  9465,7/22/1982,Approved,9465,Approved
1982.091C,750 Bush St,Conditional Use Authorization (CUA),3/24/1983,CPC:  APP W/COND:  9358,3/24/1983,Approved,9358,Approved
1982.093C,949 Brussels St,Conditional Use Authorization (CUA),4/1/1982,CPC:  APP W/COND:  9358,4/1/1982,Approved,9358,Approved
1982.103V,3144-46 Clay St,Variance (VAR),6/1/1982,DCP:  GRANTED,6/1/1982,Approved,,Approved
1982.105V,1216 21st Ave,Variance (VAR),6/29/1982,DCP:  GRANTED,6/29/1982,Approved,,Approved
1982.106V,907 Bosworth St,Variance (VAR),11/19/1982,DCP:  GRANTED,11/19/1982,Approved,,Approved
1982.108V,3500 Jackson St,Variance (VAR),6/1/1982,DCP:  GRANTED,6/1/1982,Approved,,Approved
1982.121V,1945 Washington St,Variance (VAR),6/2/1982,DCP:  GRANTED,6/2/1982,Approved,,Approved
1982.122V,367 Collingwood St,Variance (VAR),7/1/1982,DCP:  DENIED,7/1/1982,Disapproved,,Disapproved
1982.129C,1000 Front St,Conditional Use Authorization (CUA),11/7/1985,CPC:  APP W/COND:  10488,11/7/1985,Approved,10488,Approved
1982.136V,478 27th St,Variance (VAR),6/14/1982,DCP:  GRANTED,6/14/1982,Approved,,Approved
1982.137V,44 Gough St,Variance (VAR),7/8/1982,DCP:  GRANTED,7/8/1982,Approved,,Approved
1982.138V,10 Santa Barbara Ave,Variance (VAR),6/1/1982,DCP:  GRANTED,6/1/1982,Approved,,Approved
1982.139V,1975-77 Market St,Variance (VAR),6/1/1982,DCP:  GRANTED,6/1/1982,Approved,,Approved
1982.140V,1501 22nd Ave,Variance (VAR),7/12/1982,DCP:  GRANTED,7/12/1982,Approved,,Approved
1982.141V,2088 Bush St,Variance (VAR),9/28/1982,DCP:  DENIED,9/28/1982,Disapproved,,Disapproved
1982.143V,4026 1/2 24th St,Variance (VAR),6/19/1982,DCP:  DENIED,6/19/1982,Disapproved,,Disapproved
1982.145V,50 Piedmont St,Variance (VAR),6/1/1982,DCP:  GRANTED,6/1/1982,Approved,,Approved
1982.146V,3680 Jackson St,Variance (VAR),6/1/1982,DCP:  GRANTED,6/1/1982,Approved,,Approved
1982.147V,1969-79 Union St,Variance (VAR),12/21/1982,DCP:  DENIED,12/21/1982,Disapproved,,Disapproved
1982.153C,1800 Block Newhall St,Conditional Use Authorization (CUA),10/14/1982,CPC:  FINAL DESIGN APP,10/14/1982,Approved,,Approved
1982.154V,3725 Washington St,Variance (VAR),6/29/1982,DCP:  GRANTED,6/29/1982,Approved,,Approved
1982.155C,33 Banbury Drive,Conditional Use Authorization (CUA),5/27/1982,CPC:  APP W/COND:  9407,5/27/1982,Approved,9407,Approved
1982.156C,Pier 47,Conditional Use Authorization (CUA),4/29/1982,CPC:  APP:  9377,4/29/1982,Approved,9377,Approved
1982.158V,84 Seward St,Variance (VAR),7/30/1982,DCP:  GRANTED,7/30/1982,Approved,,Approved
1982.161C,Pier 44,Conditional Use Authorization (CUA),7/1/1982,CPC:  APP WITHDRAWN,7/1/1982,Approved,,Approved
1982.167C,Balboa St,Conditional Use Authorization (CUA),3/3/1983,CPC:  APP W/COND:  9633,3/3/1983,Approved,9633,Approved
1982.168V,990 Columbus Ave,Variance (VAR),7/23/1982,DCP:  GRANTED,7/23/1982,Approved,,Approved
1982.174C,1501-05 Mason St,Conditional Use Authorization (CUA),7/22/1982,CPC:  APP W/CONDS:  9461,7/22/1982,Approved,9461,Approved
1982.178V,1505 18th St,Variance (VAR),6/2/1982,DCP:  GRANTED,6/2/1982,Approved,,Approved
1982.183C,963 Pacific Ave,Conditional Use Authorization (CUA),7/1/1982,CPC:  APP CREATION OF 2 FLR/DISAPP 3RD FL:  9441,7/1/1982,Approved,,Approved
1982.186V,1330 Francisco St,Variance (VAR),8/31/1982,DCP:  DENIED,8/31/1982,Disapproved,,Disapproved
1982.190C,501 Cambridge St,Conditional Use Authorization (CUA),6/10/1982,CPC:  APP COND:  9422,6/10/1982,Approved,9422,Approved
1982.192V,2345 Mission St,Variance (VAR),7/8/1982,DCP:  GRANTED,7/8/1982,Approved,,Approved
1982.196V,1-5 Beaver St,Variance (VAR),4/15/1983,DCP:  GRANTED,4/15/1983,Approved,,Approved
1982.198V,1663-65 Mission St,Variance (VAR),7/12/1982,DCP:  GRANTED,7/12/1982,Approved,,Approved
1982.199V,719 Scott St,Variance (VAR),9/7/1982,DCP:  GRANTED,9/7/1982,Approved,,Approved
1982.200C,1735 Franklin St,Conditional Use Authorization (CUA),3/3/1983,CPC:  MOTION APP FORMAL LANGUAGE:  9631,3/3/1983,Approved,,Approved
1982.200V,1735 Franklin St,Variance (VAR),11/30/1983,DCP:  GRANTED,11/30/1983,Approved,,Approved
1982.201V,64 Graystone Terrace,Variance (VAR),6/28/1982,DCP:  GRANTED,6/28/1982,Approved,,Approved
1982.202V,157 Octavia St,Variance (VAR),6/21/1982,DCP:  GRANTED,6/21/1982,Approved,,Approved
1982.203C,201 Spear St,Conditional Use Authorization (CUA),11/14/1985,CPC:  APPROVED:  10492,11/14/1985,Approved,10492,Approved
1982.206V,33 Potrero Ave,Variance (VAR),10/15/1982,DCP:  GRANTED,10/15/1982,Approved,,Approved
1982.207V,Carver St,Variance (VAR),7/22/1982,DCP:  GRANTED,7/22/1982,Approved,,Approved
1982.208V,1440 Harrison St,Variance (VAR),7/22/1982,DCP:  GRANTED,7/22/1982,Approved,,Approved
1982.210C,Pier 44,Conditional Use Authorization (CUA),10/16/2014,CPC:  APPL W/DRAWN LETTER: AIR EXEC INC,10/16/2014,Approved,AIR EXEC INC,Approved
1982.213C,1469 Van Dyke Ave,Conditional Use Authorization (CUA),7/22/1982,CPC:  APP W/COND:  9460,7/22/1982,Approved,9460,Approved
1982.215C,Seawall,Conditional Use Authorization (CUA),6/10/1982,CPC:  APP W/COND:  9421,6/10/1982,Approved,9421,Approved
1982.220C,50 California St,Conditional Use Authorization (CUA),6/10/1982,CPC:  APP W/COND:  9420,6/10/1982,Approved,9420,Approved
1982.221V,Balboa St,Variance (VAR),2/17/1984,DCP:  GRANTED,2/17/1984,Approved,,Approved
1982.222C,949 Brussels St,Conditional Use Authorization (CUA),6/10/1982,CPC:  APP W/COND:  9791,6/10/1982,Approved,9791,Approved
1982.224C,1700 California St,Conditional Use Authorization (CUA),8/18/1983,CPC:  APP W/COND:  9791,8/18/1983,Approved,9791,Approved
1982.227C,2701 Balboa St,Conditional Use Authorization (CUA),6/10/1982,CPC:  APP W/COND:  9419,6/10/1982,Approved,9419,Approved
1982.228C,2247 Turk Blvd,Conditional Use Authorization (CUA),6/9/1982,CPC:  APP W/DRAWN;CU NO REQ;REFUND PROCES,6/9/1982,Approved,,Approved
1982.229C,Fourth St,Conditional Use Authorization (CUA),8/12/1982,CPC:  APP W/CONDS-ADV UNDER CU81.24:  9481,8/12/1982,Approved,,Approved
1982.232V,101 Utah St,Variance (VAR),7/26/1982,DCP:  GRANTED,7/26/1982,Approved,,Approved
1982.234V,The Roundhouse,Variance (VAR),2/24/1983,DCP:  GRANTED,2/24/1983,Approved,,Approved
1982.235C,Rankin St,Conditional Use Authorization (CUA),7/1/1982,CPC:  APP W/COND:  9443,7/1/1982,Approved,9443,Approved
1982.236C,1083 Clay St,Conditional Use Authorization (CUA),1/13/1983,CPC:  APP W/COND,1/13/1983,Approved,,Approved
1982.238C,1147 Taylor St,Conditional Use Authorization (CUA),8/12/1982,CPC:  APP W/COND:  9477,8/12/1982,Approved,9477,Approved
1982.240V,2 Shore View Ave,Variance (VAR),8/16/1982,DCP:  GRANTED,8/16/1982,Approved,,Approved
1982.241C,600 Harrison St,Conditional Use Authorization (CUA),10/27/1983,CPC:  APP W/COND:  9852,10/27/1983,Approved,9852,Approved
1982.242V,99 Randall St,Variance (VAR),8/23/1982,DCP:  GRANTED,8/23/1982,Approved,,Approved
1982.243V,1206 45th Ave,Variance (VAR),7/8/1982,DCP:  GRANTED,7/8/1982,Approved,,Approved
1982.244V,1250 Masonic Ave,Variance (VAR),8/24/1982,DCP:  DENIED,8/24/1982,Disapproved,,Disapproved
1982.245C,1850 Polk St,Conditional Use Authorization (CUA),9/16/1982,CPC:  APP W/COND:  9510,9/16/1982,Approved,9510,Approved
1982.245V,1850 Polk St,Variance (VAR),9/20/1982,DCP:  GRANTED,9/20/1982,Approved,,Approved
1982.246V,1470-72 12th Ave,Variance (VAR),8/3/1982,DCP:  GRANTED,8/3/1982,Approved,,Approved
1982.247C,2690 Jackson St,Conditional Use Authorization (CUA),7/8/1982,CPC:  APP W/COND:  9445,7/8/1982,Approved,9445,Approved
1982.252V,2583 Clay St,Variance (VAR),8/23/1982,DCP:  GRANTED,8/23/1982,Approved,,Approved
1982.254V,174 Belvedere St,Variance (VAR),8/20/1982,DCP:  GRANTED,8/20/1982,Approved,,Approved
1982.256V,310 Laurel St,Variance (VAR),8/20/1982,DCP:  GRANTED,8/20/1982,Approved,,Approved
1982.257C,4047-49 20th St,Conditional Use Authorization (CUA),10/21/1982,CPC:  WITHDRAWN W/O PREJUDICE:  9541,10/21/1982,Withdawn,,Withdawn
1982.258C,741 30th Ave,Conditional Use Authorization (CUA),7/1/1982,CPC:  APP COND:  9438,7/1/1982,Approved,9438,Approved
1982.259V,2307 Broadway,Variance (VAR),8/24/1982,DCP:  GRANTED,8/24/1982,Approved,,Approved
1982.263C,3625 24th St,Conditional Use Authorization (CUA),9/2/1982,CPC:  APP W/COND:  9493,9/2/1982,Approved,9493,Approved
1982.265V,2960 22nd St,Variance (VAR),9/27/1982,DCP:  GRANTED,9/27/1982,Approved,,Approved
1982.267C,721 Filbert ST,Conditional Use Authorization (CUA),7/8/1982,CPC:  APP W/COND:  9446,7/8/1982,Approved,9446,Approved
1982.285V,735 & 743 Grove St,Variance (VAR),9/7/1982,DCP:  GRANTED,9/7/1982,Approved,,Approved
1982.286V,89 Ashbury Terrace,Variance (VAR),6/14/1982,DCP:  DENIED,6/14/1982,Disapproved,,Disapproved
1982.287V,39-41 Castle St,Variance (VAR),9/3/1982,DCP:  GRANTED,9/3/1982,Approved,,Approved
1982.292V,1880-84  Greet St,Variance (VAR),4/21/1983,DCP:  GRANTED,4/21/1983,Approved,,Approved
1982.296V,222 Walnut St,Variance (VAR),9/27/1982,DCP:  DENIED,9/27/1982,Disapproved,,Disapproved
1982.298V,2458 Bush St,Variance (VAR),11/23/1982,DCP:  GRANTED,11/23/1982,Approved,,Approved
1982.300V,3073 21st Ave,Variance (VAR),9/8/1982,DCP:  GRANTED,9/8/1982,Approved,,Approved
1982.306V,244 Douglass St,Variance (VAR),9/27/1982,DCP:  DENIED,9/27/1982,Disapproved,,Disapproved
1982.307C,940 Grove St,Conditional Use Authorization (CUA),7/7/1983,CPC:  APP W/COND:  9744,7/7/1983,Approved,9744,Approved
1982.307V,940 Grove St,Variance (VAR),9/7/1982,DCP:  GRANTED,9/7/1982,Approved,,Approved
1982.308V,1241 47th Ave,Variance (VAR),9/17/1982,DCP:  DENIED,9/17/1982,Disapproved,,Disapproved
1982.309V,609-19 Cortland Ave,Variance (VAR),8/18/1982,DCP:  GRANTED,8/18/1982,Approved,,Approved
1982.313C,330 Sutter St,Conditional Use Authorization (CUA),6/28/1984,CPC:  APP W/COND:  10047,6/28/1984,Approved,10047,Approved
1982.320V,710 Ashbury St,Variance (VAR),9/17/1982,DCP:  GRANTED,9/17/1982,Approved,,Approved
1982.338V,4400 24th St,Variance (VAR),9/28/1982,DCP:  DENIED,9/28/1982,Disapproved,,Disapproved
1982.339V,851 Ashbury St,Variance (VAR),9/27/1982,DCP:  GRANTED,9/27/1982,Approved,,Approved
1982.340V,1000 Pine St,Variance (VAR),9/16/1982,DCP:  GRANTED,9/16/1982,Approved,,Approved
1982.343C,1455 Market St,Conditional Use Authorization (CUA),5/1/1984,CPC:  APPLICATIONS WITHDRAWN;SEE LETTER,5/1/1984,Approved,,Approved
1982.344V,245 Crestlake Dr,Variance (VAR),10/18/1982,DCP:  GRANTED,10/18/1982,Approved,,Approved
1982.346V,1749 Ninth Ave,Variance (VAR),9/22/1982,DCP:  DENIED,9/22/1982,Disapproved,,Disapproved
1982.348V,540 38th Ave,Variance (VAR),10/1/1982,DCP:  DENIED,10/1/1982,Disapproved,,Disapproved
1982.350C,9th Ave,Conditional Use Authorization (CUA),9/2/1982,CPC:  APP W/COND:  9492,9/2/1982,Approved,9492,Approved
1982.356V,183-85 Henry St,Variance (VAR),10/4/1982,DCP:  GRANTED,10/4/1982,Approved,,Approved
1982.357C,Post St,Conditional Use Authorization (CUA),10/7/1982,CPC:  APP W/COND:  9527,10/7/1982,Approved,9527,Approved
1982.358C,355 Buena Vista Ave,Conditional Use Authorization (CUA),8/11/1983,CPC:  APP W/COND:  9787,8/11/1983,Approved,9787,Approved
1982.361V,3707 22nd St,Variance (VAR),9/30/1982,DCP:  GRANTED,9/30/1982,Approved,,Approved
1982.366V,2640 Lyon St,Variance (VAR),10/12/1982,DCP:  DENIED IN PART/APPROVED IN PART,10/12/1982,Disapproved,,Disapproved
1982.368C,900 Kearny St,Conditional Use Authorization (CUA),8/18/1988,CPC:  APPR W/C:  11426,8/18/1988,Approved,11426,Approved
1982.369C,1068 Howard St,Conditional Use Authorization (CUA),10/7/1982,CPC:  APP W/COND:  9528,10/7/1982,Approved,9528,Approved
1982.369V,1068 Howard St,Variance (VAR),11/12/1982,DCP:  GRANTED,11/12/1982,Approved,,Approved
1982.371V,830-34 Baker St,Variance (VAR),9/8/1983,DCP:  DENIED,9/8/1983,Disapproved,,Disapproved
1982.375C,1800 Blk of Ocean (Ocean Terrace),Conditional Use Authorization (CUA),9/30/1982,CPC:  PASSED MOTION APP FINAL DESIGN,9/30/1982,Approved,,Approved
1982.383V,2150-56 Leavenworth St,Variance (VAR),10/15/1982,DCP:  GRANTED,10/15/1982,Approved,,Approved
1982.385V,79 Central Ave,Variance (VAR),10/15/1982,DCP:  GRANTED,10/15/1982,Approved,,Approved
1982.393C,1335 Guerrero St,Conditional Use Authorization (CUA),10/21/1982,CPC:  DISAPPROVED:  9542,10/21/1982,Disapproved,9542,Disapproved
1982.395C,Coleridge St,Conditional Use Authorization (CUA),5/19/1983,CPC:  APP W/COND:  9698,5/19/1983,Approved,9698,Approved
1982.396V,1 Esquina Dr,Variance (VAR),10/15/1982,DCP:  DENIED,10/15/1982,Disapproved,,Disapproved
1982.400C,417 4th St,Conditional Use Authorization (CUA),9/23/1982,CPC:  APP W/COND:  9516,9/23/1982,Approved,9516,Approved
1982.401C,644 Broadway,Conditional Use Authorization (CUA),11/18/1982,CPC:  APP W/COND:  9556,11/18/1982,Approved,9556,Approved
1982.404V,709 Broderick St,Variance (VAR),10/28/1982,DCP:  GRANTED,10/28/1982,Approved,,Approved
1982.405V,496-98 19th Ave,Variance (VAR),11/30/1982,DCP:  DENIED,11/30/1982,Disapproved,,Disapproved
1982.406V,300 15th St,Variance (VAR),9/8/1983,DCP:  DENIED,9/8/1983,Disapproved,,Disapproved
1982.411C,1249-51 Lombard St,Conditional Use Authorization (CUA),6/9/1983,CPC:  DISAPPROVED:  9715,6/9/1983,Disapproved,9715,Disapproved
1982.412V,519-21 4th Ave,Variance (VAR),12/16/1982,DCP:  GRANTED IN PART/DENIED IN PART,12/16/1982,Approved,,Approved
1982.414V,2950 Broadway,Variance (VAR),10/15/1982,DCP:  GRANTED,10/15/1982,Approved,,Approved
1982.415C,1660 Stockton St,Conditional Use Authorization (CUA),10/7/1982,CPC:  APP W/COND:  9529,10/7/1982,Approved,9529,Approved
1982.416V,155 Townsend St,Variance (VAR),12/6/1982,DCP:  GRANTED,12/6/1982,Approved,,Approved
1982.418V,1171 Sansome St,Variance (VAR),9/19/1985,DCP:  GRANTED,9/19/1985,Approved,,Approved
1982.436V,501-25 Haight St,Variance (VAR),11/12/1982,DCP:  GRANTED,11/12/1982,Approved,,Approved
1982.443V,3746 Jackson St,Variance (VAR),10/28/1982,DCP:  GRANTED,10/28/1982,Approved,,Approved
1982.444C,102 Guerrero St,Conditional Use Authorization (CUA),11/4/1982,CPC:  APP W/COND:  9548,11/4/1982,Approved,9548,Approved
1982.446V,2318 Fillmore St,Variance (VAR),10/28/1983,DCP:  GRANTED,10/28/1983,Approved,,Approved
1982.448V,89-95 Webster St,Variance (VAR),10/28/1982,DCP:  GRANTED,10/28/1982,Approved,,Approved
1982.449C,655 Brotherhood Way,Conditional Use Authorization (CUA),11/18/1982,CPC:  APP W/COND:  9559,11/18/1982,Approved,9559,Approved
1982.450C,719 Scott St,Conditional Use Authorization (CUA),12/9/1982,CPC:  APP W/COND:  9577,12/9/1982,Approved,9577,Approved
1982.451V,16 Lagunitas Dr,Variance (VAR),1/31/1983,DCP:  DENIED,1/31/1983,Disapproved,,Disapproved
1982.453V,76 Eureka St,Variance (VAR),11/1/1982,DCP:  DENIED,11/1/1982,Disapproved,,Disapproved
1982.455C,658-666 Shotwell St,Conditional Use Authorization (CUA),11/4/1982,CPC:  APP W/COND:  9549,11/4/1982,Approved,9549,Approved
1982.456V,2310 Hyde St,Variance (VAR),10/28/1982,DCP:  GRANTED,10/28/1982,Approved,,Approved
1982.457V,608 Haight St,Variance (VAR),11/15/1982,DCP:  GRANTED,11/15/1982,Approved,,Approved
1982.458V,651 Noe St,Variance (VAR),11/12/1982,DCP:  GRANTED,11/12/1982,Approved,,Approved
1982.459V,2000 16th St,Variance (VAR),11/23/1982,DCP:  GRANTED,11/23/1982,Approved,,Approved
1982.460V,800 & 806 47th Ave,Variance (VAR),11/30/1982,DCP:  GRANTED,11/30/1982,Approved,,Approved
1982.462V,171 Lee Ave,Variance (VAR),11/22/1982,DCP:  DENIED,11/22/1982,Disapproved,,Disapproved
1982.463C,505 Montgomery St,Conditional Use Authorization (CUA),6/28/1984,CPC:  APP W/COND:  10050,6/28/1984,Approved,10050,Approved
1982.463D,505 Montgomery St,Discretionary Review - Mandatory (DRM),6/28/1984,CPC:  Approved:  10049,6/28/1984,Approved,10049,Approved
1982.464V,1440 16th Ave,Variance (VAR),11/12/1982,DCP:  GRANTED,11/12/1982,Approved,,Approved
1982.474V,808 Oak St,Variance (VAR),12/2/1982,DCP:  GRANTED,12/2/1982,Approved,,Approved
1982.476V,2250 Union St,Variance (VAR),3/7/1983,DCP:  DENIED,3/7/1983,Disapproved,,Disapproved
1982.479C,111 Chestnut St,Conditional Use Authorization (CUA),1/6/1983,CPC:  APP W/COND:  9587,1/6/1983,Approved,9587,Approved
1982.490C,2333 Buchanan St,Conditional Use Authorization (CUA),2/3/1983,CPC:  APP W/COND:  9623,2/3/1983,Approved,9623,Approved
1982.491C,558 Capp St,Conditional Use Authorization (CUA),12/2/1982,CPC:  APPROVED:  9572,12/2/1982,Approved,9572,Approved
1982.492C,399 Buena Vista Ave East,Conditional Use Authorization (CUA),11/4/1982,CPC:  APP W/COND:  9550,11/4/1982,Approved,9550,Approved
1982.494C,3400-3402 16th St,Conditional Use Authorization (CUA),5/19/1983,CPC:  APP W/COND:  9700,5/19/1983,Approved,9700,Approved
1982.497V,4080 26th St,Variance (VAR),1/18/1983,DCP:  GRANTED,1/18/1983,Approved,,Approved
1982.498V,2170 Pacific Ave,Variance (VAR),12/16/1982,DCP:  GRANTED,12/16/1982,Approved,,Approved
1982.499C,Pier 39,Conditional Use Authorization (CUA),3/10/1983,CPC:  APP W/CONDS:  9367,3/10/1983,Approved,9367,Approved
1982.500C,380 21st Ave,Conditional Use Authorization (CUA),12/2/1982,CPC:  APP W/CONDS:  9573,12/2/1982,Approved,9573,Approved
1982.514V,293 Chenery St,Variance (VAR),1/6/1983,DCP:  DENIED,1/6/1983,Disapproved,,Disapproved
1982.516C,207 Skyline Blvd,Conditional Use Authorization (CUA),12/2/1982,CPC:  APPROVED:  9570,12/2/1982,Approved,9570,Approved
1982.517C,37 Salmon St,Conditional Use Authorization (CUA),1/14/1983,CPC:  CONSIDERED WITHDRAWN;REFUND,1/14/1983,Withdawn,,Withdawn
1982.518C,14 LeRoy Place,Conditional Use Authorization (CUA),4/5/1982,CPC:  DISAPPROVED,4/5/1982,Disapproved,,Disapproved
1982.524V,37 Presidio Terrace,Variance (VAR),12/2/1982,DCP:  GRANTED,12/2/1982,Approved,,Approved
1982.531C,1177 California St,Conditional Use Authorization (CUA),1/20/1983,CPC:  APP W/COND,1/20/1983,Approved,,Approved
1982.535C,220 Rankin St,Conditional Use Authorization (CUA),3/24/1983,CPC:  APP W/CONDS:  9653,3/24/1983,Approved,9653,Approved
1982.535C,220 Rankin St,Conditional Use Authorization (CUA),3/8/1984,CPC:  WITHDRAWN NO ACTION REQUIRED,3/8/1984,Withdawn,,Withdawn
1982.546C,2155 Mission St & 266 Capp St,Conditional Use Authorization (CUA),12/2/1982,CPC:  APP W/COND:  9569,12/2/1982,Approved,9569,Approved
1982.547C,Pier 3,Conditional Use Authorization (CUA),4/21/1983,CPC:  APP W/COND:  9666,4/21/1983,Approved,9666,Approved
1982.549C,660 Lombard St,Conditional Use Authorization (CUA),1/13/1983,CPC:  APP W/COND,1/13/1983,Approved,,Approved
1982.559V,12 Carson St,Variance (VAR),3/18/1982,DCP:  GRANTED IN PART/DENIED IN PART,3/18/1982,Approved,,Approved
1982.561V,1765-67 Waller St,Variance (VAR),1/14/1983,DCP:  GRANTED,1/14/1983,Approved,,Approved
1982.570C,1320 California St,Conditional Use Authorization (CUA),1/20/1983,CPC:  APP W/COND:  9609,1/20/1983,Approved,9609,Approved
1982.571V,1100 Girard St,Variance (VAR),2/3/1983,DCP:  GRANTED,2/3/1983,Approved,,Approved
1982.578C,"NLA, Carter St",Conditional Use Authorization (CUA),6/30/1983,CPC:  APPROVED W/CONDS,6/30/1983,Approved,,Approved
